Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
011090,KR7011090008,에넥스,KOSPI,,686,2,-1,-0.15,682,693,681,91672,62980049,41454223931,59991641,STK
054940,KR7054940002,엑사이엔씨,KOSDAQ,중견기업부,1249,1,24,1.96,1234,1251,1226,133316,165307064,41433761452,33173548,KSQ
001420,KR7001420009,태원물산,KOSPI,,5590,2,-10,-0.18,5600,5730,5450,37363,208504690,41420000000,7600000,STK
013000,KR7013000005,세우글로벌,KOSPI,,1440,2,-11,-0.76,1439,1456,1392,71707,103191419,41335244640,28705031,STK
030720,KR7030720007,동원수산,KOSPI,,8850,2,-40,-0.45,8870,8890,8830,12240,108447950,41232712300,4653805,STK
335870,KR7335870002,윙스풋,KOSDAQ,중견기업부,2665,2,-50,-1.84,2715,2735,2655,26976,72118985,41222210960,15381422,KSQ
115530,KR7115530008,씨엔플러스,KOSDAQ,중견기업부,605,2,-6,-0.98,611,611,596,190536,114813472,41049652000,67963000,KSQ
043710,KR7043710003,서울리거,KOSDAQ,중견기업부,816,1,6,0.74,808,850,750,129609,105793653,41012484960,50198880,KSQ
131180,KR7131180002,딜리,KOSDAQ,중견기업부,1396,2,-8,-0.57,1404,1404,1382,67015,93291312,41001950000,29350000,KSQ
042940,KR7042940007,상지카일룸,KOSDAQ,중견기업부,434,2,-15,-3.34,452,452,427,1330123,579841166,40991980965,94234439,KSQ
003465,KR7003461001,유화증권우,KOSPI,,2335,2,-65,-2.71,2330,2360,2325,1447,3380245,40894834500,17476425,STK
210120,KR7210120002,빅텐츠,KONEX,일반기업부,15380,1,480,3.22,15800,15800,14500,1759,26810030,40803140000,2653000,KNX
154030,KR7154030001,아시아종묘,KOSDAQ,벤처기업부,3660,1,20,0.55,3720,3720,3580,27873,101779790,40757874935,11120839,KSQ
227610,KR7227610003,아우딘퓨쳐스,KOSDAQ,중견기업부,1721,1,4,0.23,1723,1742,1616,1820851,3052816810,40747459578,23676618,KSQ
060380,KR7060380003,동양에스텍,KOSDAQ,우량기업부,2060,2,-5,-0.24,2065,2075,2035,50307,103455475,40680500000,19700000,KSQ
009620,KR7009620006,삼보산업,KOSDAQ,중견기업부,901,1,7,0.78,894,903,878,126846,113783900,40548982656,45255561,KSQ
018620,KR7018620005,우진비앤지,KOSDAQ,중견기업부,1405,1,28,2.03,1390,1410,1378,60745,84350056,40531678079,28889293,KSQ
346010,KR7346010002,타이드,KONEX,일반기업부,8330,3,0,0.0,8330,8330,8330,1,8330,40484316460,4860062,KNX
032080,KR7032080004,아즈텍WB,KOSDAQ,벤처기업부,1881,1,2,0.11,1879,1885,1854,43323,80898111,40446116578,21491029,KSQ
052670,KR7052670007,제일바이오,KOSDAQ,중견기업부,1390,1,6,0.43,1371,1412,1371,93539,130657287,40402011768,29129064,KSQ
313760,KR7313760001,윌링스,KOSDAQ,중견기업부,7070,1,40,0.57,7030,7200,6950,8378,59252310,40211805690,5687667,KSQ
37550K,KR737550K011,DL이앤씨우,KOSPI,,19010,1,50,0.26,19010,19010,18840,3461,65548460,40163815000,2113885,STK
019540,KR7019540004,일지테크,KOSDAQ,중견기업부,2910,2,-20,-0.68,2930,3000,2900,128371,377196155,40135095000,13513500,KSQ
117670,KR7117670000,알파홀딩스,KOSDAQ,투자주의환기종목(소속부없음),1171,1,15,1.3,1165,1176,1130,125441,144887479,40035624595,34365343,KSQ
354390,KR7354390007,바스칸바이오제약,KONEX,일반기업부,5700,2,-20,-0.35,5970,5970,5700,61,349270,40004007900,7018247,KNX
321820,KR7321820003,와이더플래닛,KOSDAQ,기술성장기업부,5760,2,-90,-1.54,5900,6340,5720,180439,1081377060,39860787140,6908282,KSQ
051390,KR7051390003,YW,KOSDAQ,중견기업부,3510,3,0,0.0,3510,3545,3485,11966,41984730,39857341680,11355368,KSQ
010640,KR7010640001,진양폴리,KOSPI,,3985,1,75,1.92,3945,3995,3905,19778,77853520,39800000000,10000000,STK
148780,KR7148780000,비플라이소프트,KOSDAQ,기술성장기업부,1262,2,-20,-1.56,1260,1280,1232,332962,415432610,39778842125,31445725,KSQ
084870,KR7084870005,TBH글로벌,KOSPI,,1906,1,14,0.74,1892,1944,1870,60240,115121881,39732240195,20856819,STK
101400,KR7101400000,엔시트론,KOSDAQ,중견기업부,774,1,4,0.52,764,780,747,439742,335534150,39725547675,52339325,KSQ
226360,KR7226360006,KH 건설,KOSDAQ,벤처기업부,322,1,21,6.98,299,332,299,5665860,1801956186,39558569920,123620531,KSQ
021040,KR7021040001,대호특수강,KOSDAQ,중견기업부,5220,2,-40,-0.76,5230,5260,5220,7044,36847330,39433436420,7539854,KSQ
115570,KR7115570004,스타플렉스,KOSDAQ,중견기업부,4925,3,0,0.0,4910,4960,4895,14291,70481860,39403546980,7984508,KSQ
208710,KR7208710004,바이오로그디바이스,KOSDAQ,벤처기업부,932,1,28,3.1,899,943,893,550857,507677436,39381153924,42254457,KSQ
025890,KR7025890005,한국주강,KOSPI,,3440,2,-130,-3.64,3570,3590,3360,103558,358044005,39243128730,11309259,STK
001770,KR7001770007,SHD,KOSPI,,32250,1,200,0.62,32050,32400,32000,3700,119203650,39179815500,1214878,STK
032800,KR7032800005,판타지오,KOSDAQ,중견기업부,404,2,-5,-1.22,408,408,400,214430,86263048,39090791190,96046170,KSQ
154040,KR7154040000,솔루에타,KOSDAQ,중견기업부,2520,2,-5,-0.2,2500,2590,2500,29035,73475170,38897938460,15314149,KSQ
434190,KR7434190005,탈로스,KONEX,일반기업부,13200,1,140,1.07,13010,13400,13010,2085,27569060,38851296000,2943280,KNX
079000,KR7079000006,와토스코리아,KOSDAQ,중견기업부,5390,1,10,0.19,5380,5410,5360,13302,71666520,38808000000,7200000,KSQ
093240,KR7093240000,형지엘리트,KOSPI,,1240,1,45,3.77,1195,1240,1195,75618,92812841,38631949520,31154798,STK
093380,KR7093380004,풍강,KOSDAQ,중견기업부,3915,3,0,0.0,3915,3915,3875,13548,52791090,38578717265,9879313,KSQ
033050,KR7033050006,제이엠아이,KOSDAQ,중견기업부,1172,2,-15,-1.26,1187,1188,1161,43278,50886011,38508782244,32579342,KSQ
196300,KR7196300008,애니젠,KOSDAQ,기술성장기업부,6950,1,170,2.51,6840,7070,6780,4348,29969760,38489559720,5602556,KSQ
199150,KR7199150004,데이터스트림즈,KONEX,일반기업부,9000,2,-200,-2.17,9100,9100,8820,1248,11146200,38417517000,4268613,KNX
